slot_range,slot,sig,type,profit,profit_unit,chain_length,num_signers
arb_324115888_324115990,324115902,66DdGg2t5brKpeJCNNNmymBPnu9siVMkuTXX6hBHzxmcifP9AdXkvMNtFBMEtZP97TqmvbGBZKxx6y8mXCHXSmUs,SOL,0.0003245489999999281,SOL,5,1
arb_324115888_324115990,324115902,3p1qSpkr9ua586ywwsiSYcJBU711zHgJ5WL75CQXdiYY9L8UhmvFqngL4robSnxy72qF8nmCsWtVg9Gjg15hS1tE,SOL,0.00028309800003486346,SOL,4,1
arb_324115888_324115990,324115902,PAzaLwiu2ohrB6QahFuiWqTz3CNuPovKZNaS2esdZv8AzD9zA4b1yHxVUbnQsWmXuYxBjtTFjTeWfSmCFeVkSNn,SOL,0.0003489619999999153,SOL,3,1
arb_324115888_324115990,324115902,mjoLQxARiaFvx1vLxRvQNntAY7P5KDnYp8XZgvj2JW5C5kaMvkzKnriETH4BLVUaRBsj8jgZ3RB3BQmJrreL1G1,SOL,0.0011398539999989455,SOL,4,1
arb_324115888_324115990,324115902,485Uf6Qe2ncPxXQPRYGbBqJTt3vxGfX3TEDtBVMQan38DL7zXxC5TbZT5fpCgfWaENNesb4jyGg5w8iBXr3Qnj1i,USDC,0.04053399999975227,USDC,3,1
arb_324115888_324115990,324115902,oQ8TSFQcuzC46E6DnjvbdipwJwFEaZargHD5G2nan1B9wWM8thsFqu72w3eBUVY3jrz393KVsSLrq9jtRvQ8Qxp,USDC,0.029034000006504357,USDC,4,1
arb_324115888_324115990,324115902,dHJMsT9rvoSr9sAVc2xgqCY4KvMLrbUNPbBNHAxn92gq52ynXiCva2jLb8uNXkfiQaT5GSuPzAagPrMg7x13evX,USDC,0.04433200000001136,USDC,2,1
arb_324115888_324115990,324115902,387Z7CBCoPwb1pcaTMfeV7cZKy2q7jwLV8BnVaJNFnqXdCz9yd9BMjJ4RamtZCZGk1YiiasDdWU8YABdGmBHdMpo,SOL,0.0028479229999964634,SOL,3,1
arb_324115888_324115990,324115902,2zXZbQ4t5KUJBY2GoZ5ytvGgX1RJip6zTXes3cW1bYMyxWmyfBRyVeeMGESWUwVvRR88FvwBna7hWLu4QTKEFqqc,USDC,0.020104999988689087,USDC,5,1
arb_324115888_324115990,324115902,DqyRpoiD2qWypWPeANeRFoVS7STa6qVCdipShLTLGcsCewLNHSWrL1dEqiurpeHTjjsHqNQUhne5SJ5avzTjgzS,USDC,0.15980400002445094,USDC,3,1
arb_324115888_324115990,324115902,65jP3ABdYZikKwkp6iMnUjtzXdXzLLY9uzvjfvsFJQi44AXk8j3rRV8DbzLiFmTev3BGCiYKpAM9ZJBX1x1Z5PVq,USDC,0.0023980000005394686,USDC,3,1
arb_324115888_324115990,324115902,59Ao3V34U6bc6fvGKchstmwiZgJpu5eTGjA4LnPCRYQ7xcENHH25Vz7FauTEiKxjKigfRm8o2duYxFf1y6FQK1Hm,SOL,0.00012885900000266182,SOL,3,1
arb_324115888_324115990,324115902,4wwSwbyN2MALbU557BTbarnHDEDCN13NE1om54AzcA44aimb5z6xpH1TaxXywkR3wbHYZjF6HSZo5Poev3y48hK8,USDC,0.03022200000123121,USDC,2,1
arb_324115888_324115990,324115902,3JoXcsWLrkMpRYvGW192ishce5Qn94ULGnYDDaRw2HMzwrNBXAeV8HoEqVNEb1VL21kkxMQFQmc8Ei9sC3a8s53g,USDC,0.08259900000120979,USDC,2,1
arb_324115888_324115990,324115902,2GKgwBD3ntVUL8JASmSUuduCmCr4RSp4YLtqrZLd6UnvwwsmqTRfrjXgGFdvmxnaA4ahTNTccv2si2TCtBpSvnLf,SOL,0.00023762699999894184,SOL,3,1
arb_324115888_324115990,324115902,36Ns4MRMvd5PMYqbYL1mNtD6ph49Vw4rrMfMW45bakrn5Sv7bnCC1JyzoTHeGrvniu8KneNKsgmUfQJBPXhG84A7,USDC,0.08517299999994066,USDC,3,1
arb_324115888_324115990,324115902,239hi9uzxpAo9BuKVRvcC5LgLAytxrbYj1AhpL9ziRU4oWgwsFozGaquHuVCg3g39Drb22GbYV8yWdq1TxQQGhoN,USDC,0.06711399999949208,USDC,4,1
arb_324115888_324115990,324115902,2R3Hv3bRZsRcc2GgT1YEuzooKWaQivped1Nxwd3EsfFdjMMey1ZBj68mtgZtdyyFUjpibc9rfv3VaTkHpPG7ftdA,USDC,0.3985009999596514,USDC,3,1
arb_324115888_324115990,324115902,2R3Hv3bRZsRcc2GgT1YEuzooKWaQivped1Nxwd3EsfFdjMMey1ZBj68mtgZtdyyFUjpibc9rfv3VaTkHpPG7ftdA,USDT,3.799999998932435e-05,USDT,3,1
arb_324115888_324115990,324115902,3xhzx1YgdZaL35bdsJARpWadSs1rd7HTtkSaAUCzbiqYNGkrUuHbX4TVd3V6DiBLWr2RrsHfC5jLEJqAvNKDWrye,SOL,1.2628999998547986e-05,SOL,3,1
arb_324115888_324115990,324115902,2C65xYhFDR2KUXSSYYqZNNPaaQGtV91Cvg7W8bDTZ4c6gxJzXME6xAtZMTvkDxfXdrnq1jeErLT9f9JhT1uqpVZ3,USDC,0.02056599999991704,USDC,4,1
arb_324115888_324115990,324115902,3xZH5bwX17WbZYcMSb1c5Yw5JR9NjhoLzGL8fYkb2qTJDLNVpG3avFaZjE1EBShK1SSiZrHnA2batsn8TiKmKUmt,SOL,0.0011141479999839726,SOL,3,1
arb_324115888_324115990,324115902,2peg2oWK6J1gyqYWxEmBic4SBihEAzjwdt63VPUwWzU5HxuTcDsvEZE7AybJAgLHgeCvLebEnivoJBLYwkPiAsM1,USDC,0.06387299997732043,USDC,4,1
arb_324115888_324115990,324115902,4kdVP5VQuzG5Ze9sPkA7fRnhMN9hqzJDGbCyKiAnJ2xjEfdoKpNhihKWFa6YfwpGTAWchb2MJZ5Kkhr7L2MoxciM,SOL,0.00025532600000000087,SOL,3,1
arb_324115888_324115990,324115902,3iK77FTLWCNSNBcK5EsTuDMa1wQwzXGvMR2FaDHQWoLVU2g7fues1eW9xz1wM1w2Zt14exn9dWGTUuRhdrYwpJhu,SOL,0.0026242319999691174,SOL,4,1
arb_324115888_324115990,324115902,2ffWLDCS3UTRdSMxXJX23sH3SeL1Q9ukELT47BHEkKp9pwf4qDMWaPJD79QgRH9uUMf2f524d3EnN71JrCMZWonN,SOL,0.00020922099992589987,SOL,3,1
arb_324115888_324115990,324115902,62iVLRjidxDpT2JRFXdRNYKTeyeVtEFg2deYjRUo1ciyoaatFzwf31wbedMKHiY8cafjdJPBhxJP4fUmoZ8yDQv3,SOL,1.1528999998673564e-05,SOL,4,1
arb_324115888_324115990,324115902,66Pkki4CWidSX6kBjpcJNfUWZoMUczH2zSBf4obBRs66N5fAnvgvU7hXx4hs3VKp8LLvACjz6xH4Q4zhQ4My4cQj,SOL,1.0979000003861052e-05,SOL,4,1
arb_324115888_324115990,324115902,EDD91cmJQXKt8hfDjgmMEY7XFujbv46JMJ1Hkt1T43H2ZdrYA5WrsnNtZ2YLnGo3V3fDDoXFhjruaehQ1amDtmk,SOL,0.0004287850000016043,SOL,3,1
arb_324115888_324115990,324115894,5srhdTVgihw4oi1xgLLxYs1bwsHCNmXSdNJjfFFwcgFvvai9KiEfuLApekA21neaSbLybKiBGxBJ2d8uZJzDEJ5Q,SOL,0.02472350300000543,SOL,2,1
arb_324115888_324115990,324115906,2P5C9KkkJNgQSTt11xAWRaeiyTwXr9hLXN2vtJYFUQQVuq4Ru25K5rrEoRxDeqxPaDgdC4kEJAZug4yyE93CEDgG,USDC,0.0034239999999954307,USDC,3,1
arb_324115888_324115990,324115906,5YuNFmX3DbfuMYAYY93byttoBZsKbabu7fisNMXxZihuBTLNafocRVxXZgFwtxNDUsWp5WDZTudARBmGVmxwFNAQ,USDT,0.020219999999994798,USDT,4,1
arb_324115888_324115990,324115906,4AWpskdmEeWRqwUyp9mdmP3an5cahvZ1neX1jvYXMNXYc32eYSa8yyXScVFXomzyJig9pB3qq39o8AxNw6kf86jr,USDC,0.0116280000002007,USDC,3,1
arb_324115888_324115990,324115906,2KoBAvsbrQGyVVTasGctY51b7DMmkCFBNPL7wyfSmDq5F43oijRk5HeM2b9YobxaQryYN2L3zreyV6dfuE8veij3,USDC,0.5182630000053905,USDC,2,1
arb_324115888_324115990,324115906,gp499igARYS6Lovzs65A7HFprAAjpWV3oCXjMN6LAm7fMCW1GNrBwXsJeb3mQD3UZ6FARFmQFSirnWKAnZoaYuP,USDC,0.1906639999942854,USDC,3,1
arb_324115888_324115990,324115906,Gr3B8AXTZEZqDXQuv3KwKt7abCisWb1EZMLZGYepiPLwpa5NintYcGDwFD1nBa4wYM3SNGWEP1nut8QFMo1oWEF,USDC,0.058032000000821427,USDC,2,1
arb_324115888_324115990,324115906,4UgX5DkeKUn2mNFwcwSnyDo8KeY5AhXEfwuAu7G7abh5TKt9T4PrmfdsUaAh3JtfdTDvWbkBoUKMnkJLWihvJse,USDC,0.06363399999099784,USDC,2,1
arb_324115888_324115990,324115906,2CZH6e2m9pAosrF6Ac9zK5z4aSa1Tg5C3ofuMqA6rCBXbMmwFtJ2czbaweWtnAcVfgx46erYaXPsWDmrUwFA8TgZ,USDT,0.16739100000040708,USDT,6,1
arb_324115888_324115990,324115906,348myqtZZojZjtZozNUXtTQ6pKa6LrWUZrjTW27RxyYQ89Tno6krkQY5saT8BDx1snMJsbk5zrhG4uy6M5A6XA63,SOL,1.3978000000777228e-05,SOL,3,1
arb_324115888_324115990,324115906,5XurrBG6tK2xg76mMtTccEHK8PUy2YZ8oM1FdEF6Wqv4DvehHGbe2efkzcCLgPvDEW7uBpdqYptN1oYddXPcrfey,SOL,0.00015722199999723983,SOL,3,1
arb_324115888_324115990,324115906,ToeYsoHFduxGBS47RWR8UnMJgLa31qGA1sFZE84SEhFWomyXCGSB6AfyEVyhWgS7zrEM1qBhXSPXg9gEPXpAbEu,SOL,8.038900001293322e-05,SOL,2,1
arb_324115888_324115990,324115906,3TsUTN74MmEC1VHKsATbTAdBF2CqPs7juTjWzwoi6q2HZMQKtNKRjSDzzRBnD5K9zuKFy7vHX252ciXhb3MsENXS,USDC,0.024516999999988798,USDC,3,1
arb_324115888_324115990,324115906,5mEP1yYHpJnXEJeFUGYyFWjkbNGT575hebmJMFAitt5tf2DQcnbw1HYHUnNtWf3w1mf31Mvf6hDgF6d7XJhfPh2e,SOL,3.346200000236388e-05,SOL,4,1
