size_decile,n,size_median,fee_median,gross_median,net_median,fee_to_gross_median,fee_to_size_median,pct_net_positive
D1,2879,33.6,0.0869,1.6605,1.5355,0.0461,0.0032,0.8461
D2,2879,80.5791,0.1207,2.1024,1.873,0.0522,0.0015,0.8697
D3,2879,118.0,0.2622,2.8221,2.4504,0.0748,0.0024,0.8402
D4,2878,157.885,0.151,2.0602,1.9035,0.0571,0.0009,0.7839
D5,2879,201.1563,0.2061,2.7129,2.4891,0.0566,0.001,0.817
D6,2879,300.0,0.5353,6.1449,5.2183,0.0749,0.0019,0.7867
D7,2878,475.0,0.6003,7.5379,6.6601,0.0563,0.0013,0.7898
D8,2879,704.9485,0.6606,8.3858,7.2371,0.0542,0.0009,0.784
D9,2879,1200.0,0.5928,7.8769,7.1143,0.0429,0.0005,0.6989
D10,2879,2325.0,0.873,11.6903,10.3511,0.0293,0.0003,0.6679
