actor,trades,net_pnl_sum,net_pnl_abs_sum,size_sum,trade_share,cum_trade_share
9eqX9ZL3eFo2bhMeUWBGAJsuneEfpVRcdBdgzqpXSpY3|0xdb3812cd8d20f27888677ddc97df1241850f8c48,4287,2898.962762,50412.229611999996,1943797.1838780001,0.13950990920628722,0.13950990920628722
vmpGndfgUQwD45rKEsCQMRmZ6XF3J7BUdi8zk3rg7c8|0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,3813,208548.59787099998,250123.480305,3255766.1540389997,0.12408474079859416,0.26359465000488136
G1TVaxpCJLnYXYBbi5rj2izPKzZJdiUvpFcBPU587oC|0xe83f75907fb4c575414fa6f5cfe8cef24dc5870c,3046,109788.32603600001,189932.45822600002,2926628.613377,0.09912460542158873,0.3627192554264701
9rx2sFooy7kJXXFBAS1hJJekEhhtDQPyEpEpogdjnit1|0xca74f404e0c7bfa35b13b511097df966d5a65597,2701,-15741.739027999996,1435734.39597,6335540.930966999,0.08789742588434378,0.4506166813108139
GNtg5FPr6qt6o2gbiEyXabauqnHfKw14oeHEFCsVi3cT|0x3caf0c97d0e5de434769cd98fb264a61b995a85c,1574,3517.489472,5339.933598,241992.114014,0.05122197272934362,0.5018386540401575
FCyV4qbgpQNqzu4qvYgoysHpgSQsFEK3id3ygksjqdK9|0xac18d21721d4702fce58ae775ed9c1bd18faac88,1324,-43414.20449999999,325242.14884599997,1773764.2375699999,0.043086335383513946,0.5449249894236714
Fnx1GHgzaAokoRihKor9HdBRB2FVZMF8tiZqwp3tNDrW|0xec23eb9276e89e779cb8a148b9f19a31a186039d,1264,985.2311259999997,7458.643840000001,170157.27393,0.041133782420514825,0.5860587718441862
2mK6juHuDZaDYaxyiXnXDdUdgSLiDfJGNtvgiys8Xddb|0xd9f76930d7df99aef4dc4cff48ee236d4583c28a,1074,1210.21877,1646.1436479999998,122611.73743,0.034950698037684275,0.6210094698818704
ELoHs26hBmvXeNxnb1daKEaUs3XugfEHreQ1zNioNJJy|0x655bb677eb340298232b309b90349d7d6331d97c,1017,18288.834130000003,27447.967947999998,511629.0,0.03309577272283511,0.6541052426047056
CxXKgmq7G6RQzpEY9jjeiM7JQwCcQxWAVFdrxF6exCu8|0x9f642617d302c15529cc29e1097f48b12c2105f2,989,1272.152767,1987.7598690000002,103758.04000000001,0.032184581340102186,0.6862898239448078
