actor,actor_short,leg1_dir,leg1_token,leg2_dir,leg2_token,leg1_ts,leg2_ts,round_trip_sec,leg1_size_usd,leg2_size_usd,leg1_roi,leg2_roi,leg1_pnl,leg2_pnl,round_trip_pnl,same_token
2DG9846iV4dkbjKRkWbbPpw8g4ekVvxZBLyBpowGyk2E|0x318d280c0dc7c0a3b4f03372f54c07d923c08dda,2DG9846iV4dk..c08dda,SOL→ETH,LAI,ETH→SOL,APP,1746359327,1746493688,134361,72.435131,100.0,-16.7026,14.6449,-12.098552,14.644918,2.546366000000001,False
2DG9846iV4dkbjKRkWbbPpw8g4ekVvxZBLyBpowGyk2E|0x318d280c0dc7c0a3b4f03372f54c07d923c08dda,2DG9846iV4dk..c08dda,ETH→SOL,APP,SOL→ETH,LAI,1746493688,1746604278,110590,100.0,54.419655,14.6449,9.9945,14.644918,5.438991,20.083909,False
2DG9846iV4dkbjKRkWbbPpw8g4ekVvxZBLyBpowGyk2E|0x318d280c0dc7c0a3b4f03372f54c07d923c08dda,2DG9846iV4dk..c08dda,SOL→ETH,LAI,ETH→SOL,LAI,1746604278,1746757497,153219,54.419655,30.0,9.9945,5.807,5.438991,1.742094,7.1810849999999995,True
2DG9846iV4dkbjKRkWbbPpw8g4ekVvxZBLyBpowGyk2E|0x318d280c0dc7c0a3b4f03372f54c07d923c08dda,2DG9846iV4dk..c08dda,ETH→SOL,APP,SOL→ETH,LAI,1746839177,1746881509,42332,300.0,89.268298,0.5119,-10.7108,1.535763,-9.561327,-8.025564000000001,False
2DG9846iV4dkbjKRkWbbPpw8g4ekVvxZBLyBpowGyk2E|0x318d280c0dc7c0a3b4f03372f54c07d923c08dda,2DG9846iV4dk..c08dda,SOL→ETH,APP,ETH→SOL,APP,1748676673,1749410423,733750,299.804312,150.0,3.319,3.2731,9.950633,4.909721,14.860354000000001,True
2DG9846iV4dkbjKRkWbbPpw8g4ekVvxZBLyBpowGyk2E|0x318d280c0dc7c0a3b4f03372f54c07d923c08dda,2DG9846iV4dk..c08dda,ETH→SOL,APP,SOL→ETH,APP,1749410423,1749860993,450570,150.0,151.706471,3.2731,2.5284,4.909721,3.835755,8.745476,True
2DG9846iV4dkbjKRkWbbPpw8g4ekVvxZBLyBpowGyk2E|0x318d280c0dc7c0a3b4f03372f54c07d923c08dda,2DG9846iV4dk..c08dda,SOL→ETH,APP,ETH→SOL,OLAS,1749860993,1750466632,605639,151.706471,350.0,2.5284,1.7044,3.835755,5.965264,9.801019,False
2DG9846iV4dkbjKRkWbbPpw8g4ekVvxZBLyBpowGyk2E|0x318d280c0dc7c0a3b4f03372f54c07d923c08dda,2DG9846iV4dk..c08dda,ETH→SOL,LAI,SOL→ETH,LAI,1751676204,1752721241,1045037,30.0,9.979281,62.8924,-31.7031,18.867728,-3.163737,15.703991,True
2DG9846iV4dkbjKRkWbbPpw8g4ekVvxZBLyBpowGyk2E|0x318d280c0dc7c0a3b4f03372f54c07d923c08dda,2DG9846iV4dk..c08dda,SOL→ETH,APP,ETH→SOL,LAI,1754349081,1756440906,2091825,101.525288,30.0,3.4405,40.543,3.492975,12.162894,15.655869,False
2i5gFiE5ZDxg8hLmq2KCc1Ch9333mWs3D8gLevdnfwrB|0x01bdc0f505555b9f51ef3557d13d15518fc0eaad,2i5gFiE5ZDxg..c0eaad,SOL→ETH,CSI,ETH→SOL,NASDAQ420,1751199186,1751209362,10176,70.0,82.855306,3.9591,4.2612,2.771397,3.530601,6.301997999999999,False
2i5gFiE5ZDxg8hLmq2KCc1Ch9333mWs3D8gLevdnfwrB|0x01bdc0f505555b9f51ef3557d13d15518fc0eaad,2i5gFiE5ZDxg..c0eaad,ETH→SOL,NASDAQ420,SOL→ETH,KIBSHI,1751209362,1751236699,27337,82.855306,150.0,4.2612,1.9867,3.530601,2.98006,6.510661,False
2i5gFiE5ZDxg8hLmq2KCc1Ch9333mWs3D8gLevdnfwrB|0x01bdc0f505555b9f51ef3557d13d15518fc0eaad,2i5gFiE5ZDxg..c0eaad,SOL→ETH,$PTRUMP,ETH→SOL,$PTRUMP,1751511918,1751512838,920,10.0,15.0,112.0602,62.0424,11.206016,9.306358,20.512374,True
2i5gFiE5ZDxg8hLmq2KCc1Ch9333mWs3D8gLevdnfwrB|0x01bdc0f505555b9f51ef3557d13d15518fc0eaad,2i5gFiE5ZDxg..c0eaad,ETH→SOL,$PTRUMP,SOL→ETH,BERRY,1751512838,1751515647,2809,15.0,100.0,62.0424,17.2071,9.306358,17.207083,26.513441,False
2i5gFiE5ZDxg8hLmq2KCc1Ch9333mWs3D8gLevdnfwrB|0x01bdc0f505555b9f51ef3557d13d15518fc0eaad,2i5gFiE5ZDxg..c0eaad,SOL→ETH,BERRY,ETH→SOL,OPAI,1751515647,1751529112,13465,100.0,90.0,17.2071,6.3317,17.207083,5.698524,22.905607,False
2i5gFiE5ZDxg8hLmq2KCc1Ch9333mWs3D8gLevdnfwrB|0x01bdc0f505555b9f51ef3557d13d15518fc0eaad,2i5gFiE5ZDxg..c0eaad,ETH→SOL,OPAI,SOL→ETH,PSPS,1751529112,1751594861,65749,90.0,100.0,6.3317,4.3647,5.698524,4.364661,10.063185,False
2i5gFiE5ZDxg8hLmq2KCc1Ch9333mWs3D8gLevdnfwrB|0x01bdc0f505555b9f51ef3557d13d15518fc0eaad,2i5gFiE5ZDxg..c0eaad,SOL→ETH,NASDAQ420,ETH→SOL,DOLLAR,1751954838,1751974568,19730,150.0,100.0,5.3867,-4.7974,8.080066,-4.79739,3.2826760000000004,False
2i5gFiE5ZDxg8hLmq2KCc1Ch9333mWs3D8gLevdnfwrB|0x01bdc0f505555b9f51ef3557d13d15518fc0eaad,2i5gFiE5ZDxg..c0eaad,ETH→SOL,DOLLAR,SOL→ETH,NASDAQ420,1751974568,1752016112,41544,100.0,60.0,-4.7974,8.0894,-4.79739,4.853663,0.05627300000000002,False
2i5gFiE5ZDxg8hLmq2KCc1Ch9333mWs3D8gLevdnfwrB|0x01bdc0f505555b9f51ef3557d13d15518fc0eaad,2i5gFiE5ZDxg..c0eaad,SOL→ETH,NASDAQ420,ETH→SOL,NASDAQ420,1752016112,1752030666,14554,60.0,80.0,8.0894,1.8739,4.853663,1.499153,6.352816,True
2i5gFiE5ZDxg8hLmq2KCc1Ch9333mWs3D8gLevdnfwrB|0x01bdc0f505555b9f51ef3557d13d15518fc0eaad,2i5gFiE5ZDxg..c0eaad,ETH→SOL,NASDAQ420,SOL→ETH,NASDAQ420,1752030666,1752046879,16213,80.0,100.0,1.8739,3.2929,1.499153,3.292874,4.792027,True
2i5gFiE5ZDxg8hLmq2KCc1Ch9333mWs3D8gLevdnfwrB|0x01bdc0f505555b9f51ef3557d13d15518fc0eaad,2i5gFiE5ZDxg..c0eaad,SOL→ETH,BERRY,ETH→SOL,$PTRUMP,1752193139,1752207670,14531,80.0,15.0,0.707,47.3114,0.565578,7.096715,7.662293,False
2i5gFiE5ZDxg8hLmq2KCc1Ch9333mWs3D8gLevdnfwrB|0x01bdc0f505555b9f51ef3557d13d15518fc0eaad,2i5gFiE5ZDxg..c0eaad,ETH→SOL,$PTRUMP,SOL→ETH,BERRY,1752207670,1752362942,155272,15.0,70.0,47.3114,7.2876,7.096715,5.101336,12.198051,False
2i5gFiE5ZDxg8hLmq2KCc1Ch9333mWs3D8gLevdnfwrB|0x01bdc0f505555b9f51ef3557d13d15518fc0eaad,2i5gFiE5ZDxg..c0eaad,SOL→ETH,ESTEE,ETH→SOL,RIZZ,1753070579,1753070640,61,50.0,100.0,14.6943,7.5324,7.347135,7.532351,14.879486,False
2i5gFiE5ZDxg8hLmq2KCc1Ch9333mWs3D8gLevdnfwrB|0x01bdc0f505555b9f51ef3557d13d15518fc0eaad,2i5gFiE5ZDxg..c0eaad,ETH→SOL,BERRY,SOL→ETH,DRIP,1753141674,1753245127,103453,100.0,100.0,10.0902,5.5283,10.090249,5.528323,15.618572,False
