delta,n,p_profit,p_fit
20.0,236,0.8728813559322034,0.7641113840749434
24.0,3358,0.8656938653960691,0.7639418911679443
32.0,5600,0.8526785714285714,0.7636030181348394
41.0,2510,0.8494023904382471,0.7632219656473788
53.0,1166,0.7975986277873071,0.7627141914404233
70.0,971,0.796086508753862,0.7619954228826787
90.0,391,0.7519181585677749,0.7611506799685119
119.0,247,0.680161943319838,0.7599274658822007
157.0,163,0.6932515337423313,0.7583276086826801
206.0,109,0.6422018348623854,0.7562696056554461
264.0,75,0.6533333333333333,0.7538408190033027
362.5,84,0.7261904761904762,0.7497339276286985
467.0,80,0.625,0.7454013275841789
622.0,86,0.6046511627906976,0.7390210502135777
858.0,3674,0.7852476864452912,0.729411284826375
1056.0,7304,0.7624589266155531,0.7214453204451735
1328.0,348,0.7471264367816092,0.7106438280298606
1780.0,131,0.7786259541984732,0.6930507688441485
2449.0,73,0.6712328767123288,0.6678076913762294
3102.0,57,0.6140350877192983,0.6440553053677822
