size_decile,n,size_median,fee_median,gross_median,net_median,fee_to_gross_median,fee_to_size_median,pct_net_positive
D1,2934,34.17,0.0903,1.6797,1.5457,0.0465,0.0033,0.8442
D2,2934,82.9828,0.1242,2.1066,1.8742,0.0542,0.0016,0.8698
D3,2934,120.0,0.2474,2.7879,2.4345,0.072,0.0022,0.8316
D4,2934,162.8744,0.1369,1.9238,1.7358,0.0551,0.0008,0.7805
D5,2934,214.5954,0.2177,2.836,2.5701,0.0596,0.001,0.8016
D6,2934,300.0,0.602,6.6478,5.5572,0.0754,0.002,0.7918
D7,2934,499.3839,0.5796,7.4786,6.6203,0.055,0.0012,0.7839
D8,2934,744.6804,0.6619,8.3887,7.2583,0.0537,0.0009,0.7751
D9,2934,1250.0,0.5562,7.1389,6.4186,0.0405,0.0004,0.6701
D10,2934,2453.2505,0.8802,11.3276,10.0204,0.0291,0.0003,0.6551
