name,id,chains,url,last_24h_volume,weekly_volume,monthly_volume,daily_txs,weekly_txs,monthly_txs,solana_24h_volume,solana_weekly_volume,solana_monthly_volume,solana_weekly_txs,solana_monthly_txs,eth_24h_volume,eth_weekly_volume,eth_monthly_volume,eth_weekly_txs,eth_monthly_txs
LayerZero,84,"['Linea', 'BSC', 'Optimism', 'Gravity Bridge', 'Arbitrum', 'Celo', 'Aptos', 'Ethereum', 'Avalanche', 'Polygon', 'Harmony', 'Fantom', 'Gnosis', 'Base', 'Klaytn', 'zkSync Era', 'Polygon zkEVM', 'Moonriver', 'Moonbeam', 'EBI', 'opBNB', 'Core', 'Metis', 'Scroll', 'Mantle', 'Aurora', 'DFK', 'Arbitrum Nova', 'Mode', 'Blast', 'Sei', 'Taiko', 'Merit Circle', 'Abstract', 'Zora', 'RARI Chain', 'Kava', 'Ink', 'Orderly', 'Degen', 'Lightlink', 'Manta', 'Viction', 'Fuse', 'Iota', 'Superposition', 'Injective', 'Ape', 'Tenet', 'Canto', 'Conflux', 'Okx', 'Eon', 'Flare', 'Loot', 'Telos', 'Fraxtal', 'Bera', 'Astar', 'Islander', 'Zircuit', 'Peaq', 'Cyber', 'Meter', 'Xai', 'Solana', 'Xchain', 'Swell', 'Sonic', 'Xpla', 'Sanko', 'Shimmer', 'Pgn', 'Unknown', 'Etherlink', 'Rootstock', 'Plume', 'Shrapnel', 'Real', 'Astar zkEVM', 'Flow', 'X Layer', 'Sepolia', 'Hemi', 'Lisk', 'Hyperliquid', 'Linea', 'Rarible', 'Unichain', 'Glue', 'Core', 'Plume Phoenix', 'Soneium', 'Cronos', 'XDC', 'Story', 'Nibiru', 'Tac', 'Tron', 'World Chain', 'Tomo', 'Ton', 'Movement', 'Botanix', 'Polygon zkEVM', 'Goat', 'BOB', 'Mp1', 'Somnia', 'Sophon', 'Morph', 'Bb1', 'BounceBit', 'Monad']",https://www.layerzero.network/,443543437.5261272,1118968169.0029545,7329347672.422535,26511,97548,613688,3745028.624588219,19589400.409714684,132940063.28203467,3696,22424,314010757.7393848,694750198.2402786,4573217875.076673,15342,92338
Relay,95,"['Ancient8', 'Apex', 'Arbitrum', 'Arbitrum Nova', 'Avalanche', 'B3', 'Base', 'Bitcoin', 'Blast', 'Bnb', 'BOB', 'Boba', 'Boss', 'Cyber', 'Degen', 'Eclipse', 'Ethereum', 'Funki', 'Gnosis', 'Ham', 'Hychain', 'Katana', 'Linea', 'Lisk', 'Mantle', 'Mint', 'Mode', 'Monad', 'Optimism', 'Polygon', 'Polygon zkEVM', 'Proof of play', 'Proof of play boss', 'RARI Chain', 'Redstone', 'Scroll', 'Sei', 'Shape', 'Solana', 'Superposition', 'World Chain', 'Xai', 'Zero Network', 'zkSync']",https://docs.relay.link/,40366462.0,501756132.0,2877117309.0,128772,2161870,9283573,8076839.5,37320182.5,303240441.5,176542,1376913,8074625.5,101534078.5,662131981.0,121237,594163
Wormhole,77,"['Ethereum', 'Polygon', 'Fantom', 'Avalanche', 'Aurora', 'Celo', 'Klaytn', 'BSC', 'Moonbeam', 'Optimism', 'Arbitrum', 'Base', 'Solana', 'Near', 'Aptos', 'Sui', 'Sei', 'Karura', 'Acala', 'Algorand', 'Terra Classic', 'Terra Classic', 'Oasis', 'Celo', 'Kaia', 'Wormchain', 'Monad']",https://portalbridge.com/,6481953.858554316,257965143.78705812,1684376265.230793,1468,206885,783473,1782715.1906886378,51042453.34054867,275588828.9711319,63090,231358,1682063.666692243,80459998.06736664,624069312.949616,34070,124921
Chainlink CCIP,96,"['Celo', 'Ethereum', 'BSC', 'Bitlayer', 'Base', 'Fhe', 'Soneium', 'Astar', 'Berachain', 'Polygon', 'Avalanche', 'Arbitrum', 'Optimism', 'Ronin', 'Linea', 'Aptos', 'Shibarium', 'Sonic', 'Wemix', 'BSquared', 'Gnosis', 'BOB', 'Hyperliquid', 'Unichain', 'Katana', 'Mantle', 'World Chain', 'Plume', 'zkSync Era', 'Metis', 'Sei', 'Solana', 'Plasma', 'Ink', 'XDC', 'Tac', 'Bittensor', 'Monad', '0g', 'Morph', 'Ab chain', 'Abstract', 'Apechain', 'Blast', 'Botanix', 'Core', 'Corn', 'Cronos', 'Cronos zkEVM', 'Etherlink', 'Everclear', 'Fraxtal', 'Hashkey', 'Hemi', 'Henesys', 'Jovay', 'Kaia', 'Lens', 'Lisk', 'Memento', 'Merlin', 'Metal', 'Mind network', 'Mint', 'Mode', 'opBNB', 'Polygon zkEVM', 'Rootstock', 'Scroll', 'Stable', 'Superseed', 'Taiko', 'X Layer', 'Zircuit', 'Zora']",https://ccip.chain.link/,20653860.74,262304250.66000003,1275716497.3799999,645,11943,50723,2012506.0999999999,29542554.349999998,126063049.66499999,989,4009,8776882.195,122823034.45499998,591402261.1350001,2543,11265
Mayan,99,"['Solana', 'Ethereum', 'Base', 'Arbitrum', 'Optimism', 'Polygon', 'Avalanche', 'BSC', 'Sui', 'Unichain', 'Aptos', 'Linea', 'Monad']",https://swap.mayan.finance/,92736918.23970348,151704715.62073147,812302711.1531076,15430,216234,937307,2263458.2765691644,33024686.69602073,175769730.36428094,72491,296273,44290210.68555571,44044049.98572788,256745759.5034628,33884,141481
deBridge,20,"['Ethereum', 'Polygon', 'Arbitrum', 'Avalanche', 'BSC', 'Fantom', 'Optimism', 'Linea', 'Base', 'Solana', 'Sonic', 'Plume', 'Monad']",https://debridge.finance/,10444765.99021298,77188556.91463776,419248632.94405377,5776,62402,290351,1291098.0,3268707.5,44803797.0,6020,44890,4142562.224405976,35657780.39784169,166730004.89781258,26176,109215
Cashmere,98,"['Ethereum', 'Avalanche', 'Optimism', 'Arbitrum', 'Base', 'Polygon', 'BSC', 'Unichain', 'Linea', 'Sonic', 'World Chain', 'Sei', 'Hyperliquid', 'Aptos', 'Sui', 'Solana', 'Berachain', 'Ink', 'Corn', 'Flare', 'Rootstock', 'X Layer', 'Plasma', 'Monad']",https://app.cashmere.exchange/,2060364.0,32646221.5,127456049.0,1091,32296,100960,34855.5,607022.5,1865825.0,1708,7326,117425.0,616937.0,1932638.5,194,861
Interport Finance,44,"['Ethereum', 'Solana', 'Arbitrum', 'BSC', 'zkSync Era', 'Base', 'Scroll', 'Linea', 'Polygon', 'Polygon zkEVM', 'Optimism', 'opBNB', 'Avalanche', 'Eon', 'Fantom', 'Astar', 'Blast', 'Celo', 'Gnosis', 'Metis', 'Mode', 'Wemix', 'Zircuit', 'Sonic', 'Soneium', 'Ronin', 'Sei', 'BOB', 'Shibarium', 'BSquared', 'Berachain', 'Kava', 'Mantle', 'Aurora', 'Core', 'Kaia', 'Iota', 'Taiko', 'RARI Chain', 'Flare', 'Gravity', 'Lightlink', 'Plume', 'Flow', 'Abstract', 'Mind', 'Injective evm', 'Manta', 'Arbitrum Nova', 'Moonbeam', 'Moonriver', 'Re.al', 'Tenet', 'Beam', 'Harmony', 'Canto', 'Telos', 'Okt chain', 'Fuse', 'Meter', 'Loot', 'Conflux', 'Orderly', 'Xpla', 'Pgn', 'ShimmerEVM', 'Viction', 'zkLink Nova', 'Sui', 'Aptos', 'Ink', 'Zora', 'Kroma', 'World Chain', 'Redstone', 'Rootstock', 'Hemi', 'Hyperliquid', 'Botanix', 'Tac', 'Codex', 'Unichain']",https://app.interport.fi,15.179722372328209,3107719.280336175,48937487.51563665,9,74,364,0.0,0.0,0.0,0,0,11.83330190664013,1840256.6898061,44320472.06284394,33,164
Allbridge Core,60,"['Arbitrum', 'Avalanche', 'BSC', 'Base', 'Ethereum', 'Optimism', 'Polygon', 'Solana']",https://core.allbridge.io/,231952.02013967102,8096358.660321638,40558862.43832016,172,3213,13608,0.0,0.0,0.0,0,0,115735.72683050638,3768475.2952854238,24246836.96779395,779,3609
Garden,49,"['Ethereum', 'Arbitrum', 'Base', 'Unichain', 'Berachain', 'Hyperliquid', 'Bitcoin', 'Corn', 'Solana', 'Monad']",https://garden.finance,245474.6978723306,251100.83562689857,6228910.561489363,168,153,2819,0.0,0.0,0.0,21,234,232942.82964910538,927301.146884176,4830465.5524479095,104,645
Wan Bridge,41,"['Arbitrum', 'Polygon', 'BSC', 'Ethereum', 'Avalanche', 'Optimism', 'Fantom', 'Moonbeam', 'Moonriver', 'Telos', 'XDC', 'Metis', 'Wanchain', 'Vinuchain', 'Functionx', 'Gather', 'Base', 'Celo', 'Blast', 'Linea', 'opBNB', 'Era', 'Polygon zkEVM', 'X Layer', 'Bitrock', 'Energi', 'Odyssey', 'Songbird', 'Bitcoin', 'Litecoin', 'Doge', 'Ripple', 'Cardano', 'Solana', 'Tron', 'Astar', 'OKExChain', 'Horizen', 'Clover', 'Noble']",https://bridge.wanchain.org,4028.534955574899,692187.7786892665,4402233.308894722,221,1231,9507,0.0,0.0,0.0,0,0,3126.2506780827953,125009.42655633691,1102474.3475639326,38,202
UniversalX,82,"['Ethereum', 'Arbitrum', 'Optimism', 'Base', 'BSC', 'Polygon', 'Avalanche', 'Linea', 'Merlin', 'Blast', 'Manta', 'Mode', 'Conflux', 'Berachain', 'Sonic', 'Solana']",https://universalx.app/,80107.08211008082,716488.284145052,3809164.3878294383,1919,46627,178695,0.0,0.0,0.0,0,0,7001.060260131928,51533.867369507774,283269.48470019124,695,2737
