actor,n_round_trips,rt_sec_median,total_rt_pnl,same_token_rate
vmpGndfgUQwD45rKEsCQMRmZ6XF3J7BUdi8zk3rg7c8|0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,1349,4266.0,131152.786,0.11
9eqX9ZL3eFo2bhMeUWBGAJsuneEfpVRcdBdgzqpXSpY3|0xdb3812cd8d20f27888677ddc97df1241850f8c48,1026,3242.5,1874.336,0.181
9rx2sFooy7kJXXFBAS1hJJekEhhtDQPyEpEpogdjnit1|0xca74f404e0c7bfa35b13b511097df966d5a65597,963,2292.0,-70417.365,0.044
GNtg5FPr6qt6o2gbiEyXabauqnHfKw14oeHEFCsVi3cT|0x3caf0c97d0e5de434769cd98fb264a61b995a85c,594,1948.0,2526.984,0.071
G1TVaxpCJLnYXYBbi5rj2izPKzZJdiUvpFcBPU587oC|0xe83f75907fb4c575414fa6f5cfe8cef24dc5870c,500,4166.0,41811.127,0.206
Fnx1GHgzaAokoRihKor9HdBRB2FVZMF8tiZqwp3tNDrW|0xec23eb9276e89e779cb8a148b9f19a31a186039d,493,6508.0,611.399,0.083
FCyV4qbgpQNqzu4qvYgoysHpgSQsFEK3id3ygksjqdK9|0xac18d21721d4702fce58ae775ed9c1bd18faac88,414,2516.5,-63348.422,0.15
CxXKgmq7G6RQzpEY9jjeiM7JQwCcQxWAVFdrxF6exCu8|0x9f642617d302c15529cc29e1097f48b12c2105f2,400,2474.0,737.306,0.018
2mK6juHuDZaDYaxyiXnXDdUdgSLiDfJGNtvgiys8Xddb|0xd9f76930d7df99aef4dc4cff48ee236d4583c28a,356,3713.0,781.595,0.031
5zWiJhY52NPVghNK8Sx1zBqE8DC4VAEg2Foxva9SvSS1|0xa01f9b15081bf213beeb91d67cad13f9fd5d170b,312,11831.5,5788.947,0.093
HLW3JWpmdWLonscYV5KT2mPyczqhoYkjgaSkrCPX7N5x|0xc4438d934e3d2ddd1c6afdd6ea0901080774f709,266,3025.0,507.994,0.008
ELoHs26hBmvXeNxnb1daKEaUs3XugfEHreQ1zNioNJJy|0x655bb677eb340298232b309b90349d7d6331d97c,247,12685.0,15103.386,0.146
AQFnRFkK8Jrxi91h2HCxQrdtdayWPSHKvAURR85ZeLWG|0x49719d256a5ea16bfa579ea16e95bea9fa41a452,186,2638.5,353.128,0.167
5PQRrdAS5QjBvhRcCTakwoyoxB2rc67vAFNXS2QQxmAF|0x6722b2c28d7d299b56a5febedbbe865a84ee0d7d,173,6565.0,1369.749,0.035
Akvebb6jztFQU5nJurEEHSsLNmnX77gLFiaqKnBDiwFc|0xa6948d871c8b83151b6f7eea3ab075ac737df291,158,12921.0,4560.308,0.07
yo4hfX4vajeyDCakVNsAbVC2GUJ4tRShJ2CVrrnqwgk|0xfdff0b569f14af593d446e51b3e42f502124ac85,152,6207.0,-16772.526,0.059
CFCPokzrKCCfpRg7xdXVyMrJhoiXW4FdYCyhLd4Pw54u|0xf784cab7ab13a37e14a4fb1182aac824abfc2918,138,6306.0,1021.163,0.036
DiEife6EVgfpjkSMxLHBxoireLBbvsh7YvCsnBnAx8LD|0xc8d5cf84e1aa38ffa9e5e532fc97b2f6e1c4740c,123,33921.0,665.082,0.065
G34HnRkcki12KSHGJMpGqvD9pybyZ72Xq7YZ5XeUyCa9|0xa01f9b15081bf213beeb91d67cad13f9fd5d170b,92,2927.5,1286.683,0.054
8DTNTkJ2ADZDSNj5zSgHuuqvWxzhh25eKBDAY4wySTo2|0x605534105d776a1c6c7c439e4946e2ed31695cff,56,85575.5,370.177,0.054
