slot,signature,profit_sol,fee_lamports,protocols,is_mev_tip,signer
324115988,uYLbYMaSXBxM1P5t1WxjV9r4yhWDoFENdJ2W772eoPm93Ux1raiERNQaiht6NVQgwFqD3r5qZDK7B1b9gArcbdt,2.147173,825000,Unknown,No,3shjKDvn5PRHEeNXWfmBdTdY5TvVMPWtbszz6xh4Veud
324115988,xPvoikbSkEHcqNTK86BZBtfejubBYdb9zWNLgEgczXPPfD8ghdoTNC6H6ABZvuVBjuk6Rcf7DsBNQJUe5y7D7R8,0.006783,5000,Unknown,No,7A4Fa6arSNetuf6fvXM7nWPGdQF6mJABkASKPaqLjumm
324115988,3LvNrTbewaHrHp5auSQALERZXfdu7ZMMdEz9f4i9hUG8ikGqMgB5PaqQ59WVWiE34FnFd4j729orCp34GLVTPE7,0.145722,5000,Unknown,No,5P3Vfo356FTbpZGoPZrNShH5EfD7HNrggBnu9HUTVVhN
324115988,2HtLRyPPc8TpjYX6UWDKfdH5dEu67MmKZ1rtmqHHQHh9N2KMdxspxuKZbkCiCpi6CponAfyAY9zLn7wsZpMxAb1Z,0.243456,5000,Unknown,No,HA4xNP5bW1p88U6AEmj3UnZLHEp9TZT2mTKMopVaEKMo
324115988,fxXzdzCj218wes1dPtdk77SzEUj1wwXXXQ4Qq7cYQY4gU7uPEJEnU1vWx5xG5iFMGqEyFsD5YyADj257QmFpVew,0.152365,5000,Unknown,No,GehXumExs7ySEPuKfcCiFq6HtTvbbFovkaPNjZ2qRb5J
324115988,5bxqEQnNDtYhpEtc3R2eMWUYDF5H5K1Qg48y7enfv4KNKAHA7Fc4rCds7wkeo7oYqeuvDE6tdG1zf3MWRpominmT,0.163023,5000,Unknown,No,C8bMKY8vnfPHKfqYKfPTzv7MwKZMeeUmwnX6pS4bZpgh
324115988,3G2zCzxhFMgUd4unW6sGHiMhuV4f5SLnTSFbxrRnLUzSWVe6faM8cc44S63TEhCJC313Yu8Ltf38PAXpYFgRnX9X,0.265554,5000,Unknown,No,359KHDSaBvBm2YnUQJMiLnZBMjrJEUqkTgbJuuJ7PfPF
324115988,5GjJsuYRJUdhTFwgZM7UGXobHFqm5LNaLxhQukCWJMKWEGci53gohNd8hV9jqc2h1ngH7M8fZ1oWoJGMrbZpkD8X,0.2768,5000,Unknown,No,5KkYz2rSvx6dK6A2L1zLEaeKbpGKGuLUqtoJ7YX21gni
324115988,2EpKuSL8p4TPA6pKGvAYdkuvunmQs5RJa9f2KzK4YAJWJzPxTptAz3q9d8xDNuaECKo7oJa4L8VgEcWtFQLSw3Pa,0.093717,5000,Unknown,No,CCdCimqQcbuh2CXzzcYZVpEoJCeJw5tuF8ayxTYYsaUE
324115988,5W81PccMSXgUBvGASoDL2oUEQKYT2ifTZEWRQn4bGQ99hq3i7RKepNCQXKwKU2GJN73NjXNBrfV5e8xdpvg4SBe4,0.053369,5000,Unknown,No,GxkT1BfEyGcpL1M27gvCXJwCgjjHxVbioYsdneSPuxPE
