symbol,datetime_utc,volatility,open,high,low,close,volume
SOLUSDT,2024-03-05 19:57 UTC,0.10073394495412848,109.0,115.98,105.0,115.52,114081.92
SOLUSDT,2024-03-05 19:56 UTC,0.08528784648187633,117.25,119.0,109.0,109.34,110021.08
SOLUSDT,2024-04-12 18:35 UTC,0.07401501561358041,150.51,152.14,141.0,142.03,96189.91
BTCUSDT,2025-10-10 21:24 UTC,0.06435736848177127,107571.21,108923.0,102000.0,108219.08,447.35706
SOLUSDT,2024-04-13 20:11 UTC,0.06389644653310247,121.29,127.65,119.9,125.49,85353.87
SOLUSDT,2024-04-12 18:36 UTC,0.06018844044438196,142.22,150.57,142.01,149.13,60361.69
BTCUSDT,2024-12-05 22:28 UTC,0.05925637690698017,96192.01,96199.99,90500.0,92656.41,2772.45567
SOLUSDT,2025-10-10 21:31 UTC,0.058283073107491146,177.41,185.61,175.27,182.74,31931.976
SOLUSDT,2024-04-13 20:09 UTC,0.05779869540087524,121.11,123.0,116.0,120.55,97021.48
SOLUSDT,2025-10-10 21:14 UTC,0.05234618275528831,186.26,189.75,180.0,187.39,99851.671
BTCUSDT,2025-10-10 21:19 UTC,0.052078899487236055,108822.0,109467.33,103800.0,103975.26,902.67966
BTCUSDT,2025-10-10 21:18 UTC,0.051167322382508325,107973.6,112261.07,106736.35,108635.51,1103.41968
SOLUSDT,2025-10-10 21:44 UTC,0.05090985589565587,190.14,199.15,189.47,196.82,65971.588
SOLUSDT,2026-01-31 18:43 UTC,0.04875172007076871,101.74,101.76,96.8,97.2,322208.161
SOLUSDT,2024-03-05 19:58 UTC,0.04864958448753467,115.52,118.0,112.38,116.36,71357.67
SOLUSDT,2024-04-13 20:06 UTC,0.04692126641864708,131.71,132.18,126.0,126.7,57423.97
SOLUSDT,2024-03-05 19:54 UTC,0.04537220026350454,121.44,122.63,117.12,117.35,92041.16
SOLUSDT,2025-10-10 21:15 UTC,0.04521191416675562,187.34,188.51,180.04,181.94,64360.053
SOLUSDT,2024-04-12 18:32 UTC,0.04508948333649526,158.13,158.13,151.0,151.02,127391.26
SOLUSDT,2024-08-05 06:24 UTC,0.04447919381461215,115.11,115.12,110.0,111.45,108089.958
SOLUSDT,2024-03-05 19:55 UTC,0.04345973583297822,117.35,120.1,115.0,117.25,109909.03
SOLUSDT,2024-04-13 20:07 UTC,0.04340962904498816,126.7,128.0,122.5,123.62,112832.91
SOLUSDT,2024-08-05 13:30 UTC,0.04328886468826569,110.19,114.8,110.03,114.79,56202.53
SOLUSDT,2024-04-13 20:10 UTC,0.04287965497221521,120.57,125.1,119.93,121.21,62716.88
BTCUSDT,2024-02-28 17:31 UTC,0.042494001993976994,61274.53,61303.8,58700.0,59580.59,1185.07305
SOLUSDT,2025-10-10 21:32 UTC,0.04196223944123103,183.26,188.95,181.26,185.7,28821.324
SOLUSDT,2026-01-31 18:44 UTC,0.041053606338100575,97.19,100.39,96.4,100.28,183573.654
SOLUSDT,2024-08-05 01:14 UTC,0.040463357734695414,124.31,129.2,124.17,128.44,81137.552
SOLUSDT,2025-10-10 21:40 UTC,0.040428395200179316,178.34,185.23,178.02,181.89,33924.216
BTCUSDT,2025-10-10 21:20 UTC,0.04024123591625896,104113.85,106189.67,102000.0,104384.6,920.80756
SOLUSDT,2024-12-09 21:04 UTC,0.03978206754027523,212.91,214.47,206.0,206.89,140892.949
SOLUSDT,2024-04-13 20:22 UTC,0.03965421524308045,126.09,128.02,123.02,124.04,61766.31
SOLUSDT,2024-03-05 20:00 UTC,0.03891311640389132,119.24,121.85,117.21,121.51,83106.83
SOLUSDT,2025-10-10 21:25 UTC,0.038646513225695636,174.66,180.0,173.25,177.09,40363.918
SOLUSDT,2024-08-05 01:10 UTC,0.03840075853350189,126.56,126.86,122.0,122.82,132752.9
SOLUSDT,2025-10-10 20:59 UTC,0.03773774276107798,199.27,200.52,193.0,196.84,172090.039
SOLUSDT,2024-03-05 19:53 UTC,0.03770255093855289,124.66,124.7,120.0,121.43,158828.92
BTCUSDT,2025-10-10 21:21 UTC,0.037456604505086435,104411.76,107166.0,103255.09,106766.11,679.96494
SOLUSDT,2025-10-10 21:29 UTC,0.037279684601113215,172.48,177.11,170.68,174.74,34892.188
SOLUSDT,2024-08-05 14:00 UTC,0.037275693311582446,122.6,127.17,122.6,126.55,98657.608
SOLUSDT,2024-08-05 05:13 UTC,0.03697151954714317,113.06,116.89,112.71,116.41,137186.141
SOLUSDT,2025-10-10 21:33 UTC,0.03683558619204052,185.69,188.16,181.32,185.48,29433.272
BTCUSDT,2025-10-10 21:17 UTC,0.03674353574140013,109022.17,110671.86,106666.0,108066.05,1226.43408
SOLUSDT,2024-08-05 01:15 UTC,0.03673723536737246,128.48,132.27,127.55,131.55,72976.715
SOLUSDT,2025-10-10 21:28 UTC,0.03644580080990673,170.39,175.0,168.79,172.48,28449.296
SOLUSDT,2024-04-13 19:56 UTC,0.036363636363636404,134.75,134.9,130.0,131.59,93253.42
SOLUSDT,2025-03-02 15:25 UTC,0.036319104268719364,142.9,148.0,142.81,148.0,103368.831
SOLUSDT,2025-10-10 21:13 UTC,0.03582546298738982,189.53,189.79,183.0,186.25,100796.701
SOLUSDT,2025-03-02 15:28 UTC,0.03576642335766415,150.7,155.98,150.59,155.7,228702.154
SOLUSDT,2025-10-10 21:41 UTC,0.03560439560439555,182.0,187.44,180.96,186.17,24525.913
SOLUSDT,2024-04-13 20:03 UTC,0.03493314784759263,129.39,132.81,128.29,132.02,40533.99
SOLUSDT,2024-12-09 21:05 UTC,0.03493153998742077,206.69,210.22,203.0,209.58,108948.73
SOLUSDT,2024-04-12 18:37 UTC,0.033994904116937064,149.14,154.0,148.93,151.99,52646.75
SOLUSDT,2026-01-31 17:11 UTC,0.033953577594475405,104.26,104.54,101.0,101.35,275244.656
SOLUSDT,2025-10-10 21:27 UTC,0.033879781420765115,173.85,175.3,169.41,170.4,47222.224
SOLUSDT,2025-02-03 02:07 UTC,0.033812434605429736,181.59,182.48,176.34,177.58,65531.555
SOLUSDT,2024-04-12 18:33 UTC,0.03377483443708606,151.0,154.0,148.9,152.91,93710.78
SOLUSDT,2025-10-10 21:22 UTC,0.03374609549308351,179.28,181.05,175.0,177.14,37882.778
SOLUSDT,2024-08-05 05:10 UTC,0.033635833818999185,120.11,120.19,116.15,117.8,200893.83
SOLUSDT,2024-04-13 20:24 UTC,0.033382185311838536,122.82,124.76,120.66,124.66,54245.53
SOLUSDT,2025-10-10 21:43 UTC,0.033157213715764536,185.48,190.15,184.0,189.58,56526.633
SOLUSDT,2024-08-05 13:33 UTC,0.032990947075208846,114.88,118.32,114.53,118.32,63320.548
SOLUSDT,2024-08-05 05:12 UTC,0.03257608229747104,116.65,116.8,113.0,113.07,207900.109
SOLUSDT,2025-04-07 13:51 UTC,0.03243295575563954,103.29,106.62,103.27,106.62,107243.381
SOLUSDT,2024-04-13 20:08 UTC,0.03211454457207571,123.62,124.97,121.0,121.0,95296.39
SOLUSDT,2024-12-09 22:22 UTC,0.03157394198763678,210.3,211.49,204.85,208.25,91375.667
SOLUSDT,2024-08-05 05:11 UTC,0.03148871159395683,117.82,118.72,115.01,116.66,138812.909
SOLUSDT,2024-08-05 06:22 UTC,0.031206777316735816,115.68,116.23,112.62,115.61,111063.04
BTCUSDT,2025-10-10 21:46 UTC,0.025875137294370732,112076.7,113400.0,110500.0,113169.4,402.20824
BTCUSDT,2024-02-28 17:25 UTC,0.02469314848931142,62677.71,62677.71,61130.0,61333.67,837.70769
BTCUSDT,2024-08-08 01:44 UTC,0.02389994239494664,56054.11,57381.36,56041.67,57346.54,651.01638
