symbol,datetime_utc,volatility,open,high,low,close,volume,slot_start,slot_end
BTCUSDT,2024-12-05 22:34 UTC,0.007839673721667006,95844.55,96152.01,95400.62,95480.0,391.67223,305645206,305645356
SOLUSDT,2024-02-18 20:20 UTC,0.004357492218763976,112.45,112.48,111.99,112.06,12166.01,249005894,249006044
SOLUSDT,2025-03-17 15:54 UTC,0.004086765168186074,127.24,127.67,127.15,127.55,12352.011,327383269,327383419
SOLUSDT,2025-03-11 14:36 UTC,0.004003670030861656,119.89,120.23,119.75,120.12,17048.642,326067372,326067522
SOLUSDT,2025-10-17 22:10 UTC,0.0031353046110601246,184.99,185.0,184.42,184.64,5658.558,374053807,374053957
SOLUSDT,2025-02-11 18:37 UTC,0.002936708860759413,197.5,198.04,197.46,197.99,2355.167,319999560,319999710
SOLUSDT,2025-12-15 09:51 UTC,0.002637329515485063,132.71,133.02,132.67,132.77,6180.75,386835820,386835970
SOLUSDT,2025-06-24 06:05 UTC,0.0023422430421603984,145.16,145.16,144.82,144.87,4514.088,348833768,348833918
SOLUSDT,2025-11-26 15:11 UTC,0.0023393522918341487,136.79,136.88,136.56,136.78,2562.694,382666760,382666910
SOLUSDT,2025-09-25 20:48 UTC,0.0023388244864753892,196.68,196.79,196.33,196.36,2034.739,369243243,369243393
BTCUSDT,2025-03-09 15:20 UTC,0.002212651484056035,83564.9,83564.9,83380.0,83467.99,35.66536,325638730,325638880
SOLUSDT,2024-04-09 17:27 UTC,0.0021515117200769755,176.62,176.75,176.37,176.37,6683.66,259446828,259446978
SOLUSDT,2024-08-25 01:08 UTC,0.002130459301961297,159.59,159.59,159.25,159.38,2892.503,285646539,285646689
SOLUSDT,2025-10-03 15:00 UTC,0.002039134018829445,230.49,230.49,230.02,230.02,4999.83,370938986,370939136
SOLUSDT,2025-10-23 16:17 UTC,0.0019347416858398062,191.24,191.25,190.88,191.04,1801.742,375302810,375302960
SOLUSDT,2024-02-24 21:27 UTC,0.0019157088122605636,104.4,104.42,104.22,104.29,2107.54,250234787,250234937
